station,year,severity,collision,road_type,lat,lng,fatal,crash_id
Adugodi,2020,Grievous Injury,Hit pedestrian,Others,12.946772,77.618646,0,71
Adugodi,2020,Damage Only,Vehicle to Vehicle,Two way,12.924855,77.633574,0,72
Adugodi,2020,Grievous Injury,Vehicle to Vehicle,Two way,12.9275253,77.6208927,0,73
Adugodi,2021,Grievous Injury,Vehicle to Vehicle,Two way,12.940455,77.620258,0,74
Adugodi,2021,Grievous Injury,Hit pedestrian,Two way,12.926926,77.63367,0,75
Adugodi,2021,Grievous Injury,Vehicle to Vehicle,Two way,12.946206,77.607014,0,76
Adugodi,2021,Grievous Injury,Vehicle to Vehicle,Others,12.937089,77.607982,0,77
Adugodi,2021,Grievous Injury,Not Applicable,Two way,12.935863,77.625139,0,78
Adugodi,2022,Grievous Injury,Vehicle to Vehicle,Two way,13.093267,77.56204,0,79
Adugodi,2022,Fatal,Vehicle to Vehicle,Minor District Road,12.927551,77.621047,1,80
Adugodi,2022,Grievous Injury,Vehicle to Vehicle,Two way,12.939212,77.625754,0,81
Adugodi,2022,Grievous Injury,Hit pedestrian,Arterial,12.928894,77.617294,0,82
Adugodi,2022,Fatal,Hit pedestrian,Arterial,12.943619,77.607686,1,83
Adugodi,2022,Simple Injury,Vehicle to Vehicle,Two way,12.946777,77.606786,0,84
Adugodi,2022,Damage Only,Vehicle to Vehicle,Others,12.928819,77.617435,0,85
Adugodi,2022,Grievous Injury,Hit pedestrian,Major District Road,12.928814,77.617617,0,86
Adugodi,2022,Grievous Injury,Not Applicable,Minor District Road,12.929531,77.615819,0,87
Adugodi,2022,Grievous Injury,Hit bicyclist,Two way,12.930531,77.626293,0,88
Adugodi,2023,Grievous Injury,Vehicle to Vehicle,Major District Road,12.931473,77.622572,0,89
Adugodi,2023,Damage Only,Vehicle to Vehicle,Others,12.940121,77.603274,0,90
Adugodi,2023,Grievous Injury,Hit pedestrian,Arterial,12.932391,77.613466,0,91
Adugodi,2023,Grievous Injury,Hit pedestrian,Arterial,12.928911,77.617475,0,92
Adugodi,2023,Damage Only,Vehicle to Vehicle,Arterial,12.94144,77.62072,0,93
Adugodi,2023,Grievous Injury,Hit pedestrian,Major District Road,12.93535,77.628738,0,94
Adugodi,2023,Grievous Injury,Vehicle to Vehicle,Major District Road,12.936839,77.627022,0,95
Adugodi,2023,Grievous Injury,Hit pedestrian,Two way,12.925082,77.63398,0,96
Adugodi,2023,Grievous Injury,Vehicle to Vehicle,Two way,12.946139,77.602489,0,97
Adugodi,2023,Grievous Injury,Hit pedestrian,Arterial,12.931935,77.632306,0,98
Adugodi,2023,Fatal,Hit pedestrian,Arterial,12.929133,77.616604,1,99
Adugodi,2023,Fatal,Vehicle to Vehicle,Major District Road,12.927567,77.62091,1,100
Adugodi,2023,Grievous Injury,Hit pedestrian,Arterial,12.924496,77.638649,0,101
Adugodi,2023,Grievous Injury,Vehicle to Vehicle,Two way,12.940703,77.626854,0,102
Adugodi,2023,Grievous Injury,Vehicle to Vehicle,Major District Road,12.935277,77.62442,0,103
Adugodi,2023,Simple Injury,Vehicle to Vehicle,Two way,12.937786,77.627892,0,104
Adugodi,2023,Grievous Injury,Hit pedestrian,Arterial,12.937419,77.626825,0,105
Adugodi,2023,Grievous Injury,Hit pedestrian,Major District Road,12.948392,77.606295,0,106
Adugodi,2023,Grievous Injury,Hit pedestrian,Major District Road,12.924845,77.637935,0,107
Adugodi,2023,Simple Injury,Vehicle to Vehicle,Others,12.937835,77.627854,0,108
Adugodi,2023,Grievous Injury,Vehicle to Vehicle,Major District Road,12.935353,77.628738,0,109
Adugodi,2023,Grievous Injury,Hit pedestrian,Two way,12.933309,77.62547,0,110
Airport,2016,Grievous Injury,Head on,Others,12.943187,77.697475,0,111
Airport,2016,Grievous Injury,Hit pedestrian,Others,12.955785,77.69196,0,112
Airport,2016,Fatal,Hit pedestrian,Others,12.955218,77.687984,1,113
Airport,2016,Fatal,Hit pedestrian,Others,12.95925,77.662351,1,114
Airport,2017,Simple Injury,Hit pedestrian,Arterial,12.95688,77.70063,0,115
Airport,2017,Grievous Injury,Hit and Run,Arterial,12.95987,77.66746,0,116
Airport,2017,Not Applicable,Hit and Run,Arterial,12.94307,77.69218,0,117
Airport,2017,Grievous Injury,Head on,Others,12.929788,77.68449,0,118
Airport,2017,Simple Injury,Hit pedestrian,Arterial,12.95977,77.7016,0,119
Airport,2017,Grievous Injury,Hit pedestrian,Others,12.93341,77.69136,0,120
Airport,2018,Fatal,Hit pedestrian,Others,12.951115,77.699668,1,121
Airport,2018,Fatal,Hit and Run,City or Town Road,12.9350036,77.6906,1,122
Airport,2018,Damage Only,Overturning,Two way,12.956117,77.711939,0,123
Airport,2018,Fatal,Others,Others,12.965281,77.692442,1,124
Airport,2018,Fatal,Not Applicable,City or Town Road,12.948329,77.699114,1,125
Airport,2018,Fatal,Hit pedestrian,Others,12.947558,77.698964,1,126
Airport,2018,Fatal,Hit and Run,City or Town Road,12.95597,77.692816,1,127
Airport,2018,Fatal,Others,City or Town Road,12.955965,77.713268,1,128
Airport,2018,Damage Only,Head on,Others,12.934922,77.690536,0,129
Airport,2019,Fatal,Hit pedestrian,State Highway,12.96312,77.701758,1,130
Airport,2019,Fatal,Hit pedestrian,Others,12.957718,77.672524,1,131
Airport,2019,Fatal,Head on,Residential Street,12.964465,77.675596,1,132
Airport,2019,Fatal,Hit pedestrian,Others,12.937458,77.693193,1,133
Airport,2019,Simple Injury,Others,City or Town Road,12.971651,77.693701,0,134
Airport,2020,Fatal,Vehicle to Vehicle,One way,12.956556,77.705754,1,135
