station,total_2018,total_2019,total_2020,total_2021,total_2022,total_2023,total_2024,total_2025,fatal_2018,fatal_2019,fatal_2020,fatal_2021,fatal_2022,fatal_2023,fatal_2024,fatal_2025,killed_2018,killed_2019,killed_2020,killed_2021,killed_2022,killed_2023,killed_2024,killed_2025,injured_2018,injured_2019,injured_2020,injured_2021,injured_2022,injured_2023,injured_2024,injured_2025,zone,subdivision,killed_est_years,lat,lng
Hebbala,138.0,141.0,109.0,115.0,101.0,144.0,177.0,164.0,32.0,32.0,28.0,18.0,29.0,24.0,29.0,24.0,33.0,33.0,28.0,18.0,30.0,24.0,30.0,24.9,113.0,118.0,99.0,99.0,88.0,118.0,,,North,North East,"2024,2025",13.036,77.597
Hennuru,,,,,,103.0,127.0,88.0,,,,,,23.0,32.0,22.0,,,,,,24.0,33.1,22.8,,,,,,84.0,,,North,North East,"2024,2025",13.04,77.645
Hulimavu,136.0,123.0,80.0,74.0,113.0,108.0,71.0,90.0,30.0,15.0,16.0,6.0,10.0,16.0,10.0,24.0,33.0,15.0,16.0,6.0,11.0,16.0,10.4,24.9,118.0,104.0,74.0,71.0,93.0,117.0,,,South,South East,"2024,2025",12.877,77.603
Indiranagar,74.0,108.0,49.0,32.0,48.0,85.0,119.0,98.0,11.0,14.0,9.0,5.0,13.0,12.0,21.0,24.0,11.0,14.0,9.0,5.0,13.0,12.0,21.8,24.9,60.0,92.0,45.0,28.0,40.0,62.0,,,East,East,"2024,2025",12.972,77.641
Int. Aiport,161.0,160.0,113.0,168.0,154.0,232.0,240.0,146.0,39.0,33.0,25.0,23.0,30.0,59.0,60.0,42.0,45.0,37.0,27.0,24.0,31.0,61.0,62.2,43.5,189.0,197.0,133.0,209.0,164.0,215.0,,,North,North East,"2024,2025",13.199,77.707
JP Nagar,,,,,,,,43.0,,,,,,,,3.0,,,,,,,,3.1,,,,,,,,,South,South,"2024,2025",12.908,77.585
Jalahalli,174.0,107.0,72.0,90.0,80.0,102.0,69.0,56.0,21.0,21.0,19.0,22.0,15.0,28.0,15.0,8.0,21.0,22.0,20.0,23.0,16.0,29.0,15.5,8.3,158.0,104.0,63.0,80.0,75.0,84.0,,,North,North,"2024,2025",13.045,77.545
Jayanagar,81.0,77.0,54.0,60.0,93.0,90.0,85.0,66.0,9.0,16.0,15.0,10.0,8.0,13.0,12.0,11.0,9.0,16.0,15.0,10.0,8.0,13.0,12.4,11.4,71.0,63.0,46.0,55.0,89.0,77.0,,,South,South,"2024,2025",12.93,77.583
Jnanabharathi,,,,,,,141.0,158.0,,,,,,,22.0,18.0,,,,,,,22.8,18.6,,,,,,,,,West,West,"2024,2025",12.943,77.505
K G Halli,23.0,29.0,20.0,22.0,30.0,40.0,54.0,48.0,4.0,7.0,3.0,5.0,7.0,6.0,7.0,11.0,4.0,7.0,3.0,5.0,7.0,6.0,7.3,11.4,24.0,21.0,22.0,18.0,24.0,39.0,,,East,East,"2024,2025",13.033,77.619
K R Puram,283.0,269.0,184.0,64.0,205.0,254.0,241.0,267.0,42.0,49.0,48.0,17.0,39.0,41.0,34.0,34.0,43.0,50.0,50.0,18.0,39.0,42.0,35.2,35.2,221.0,230.0,129.0,48.0,191.0,217.0,,,East,Whitefield,"2024,2025",13.004,77.696
K S Layout,190.0,192.0,159.0,140.0,175.0,154.0,110.0,77.0,33.0,26.0,37.0,45.0,34.0,18.0,20.0,9.0,35.0,28.0,39.0,48.0,36.0,18.0,20.7,9.3,141.0,168.0,130.0,129.0,159.0,137.0,,,South,South,"2024,2025",12.908,77.557
Kamakshipalya,209.0,219.0,159.0,157.0,200.0,241.0,144.0,193.0,22.0,25.0,24.0,33.0,49.0,40.0,18.0,23.0,22.0,27.0,26.0,34.0,50.0,41.0,18.6,23.8,202.0,207.0,154.0,117.0,146.0,202.0,,,West,Vijayanagar,"2024,2025",12.986,77.532
Kengeri,161.0,171.0,86.0,107.0,121.0,279.0,177.0,200.0,24.0,26.0,22.0,22.0,34.0,58.0,31.0,26.0,25.0,27.0,24.0,24.0,36.0,59.0,32.1,26.9,198.0,178.0,88.0,82.0,108.0,237.0,,,West,West,"2024,2025",12.913,77.484
Kodigehalli,,,,,,,,110.0,,,,,,,,13.0,,,,,,,,13.5,,,,,,,,,North,North,"2024,2025",13.063,77.576
Madivala,82.0,84.0,45.0,54.0,45.0,73.0,102.0,90.0,18.0,17.0,11.0,8.0,13.0,14.0,21.0,15.0,18.0,18.0,11.0,8.0,13.0,14.0,21.8,15.5,69.0,65.0,35.0,51.0,30.0,53.0,,,South,South East,"2024,2025",12.92,77.618
