year,fatal_crashes,killed,nonfatal,total_crashes
2007,957,981,7469,8426
2008,864,892,6908,7772
2009,737,761,6138,6875
2010,816,858,5667,6483
2011,727,762,5297,6024
2012,740,760,4767,5507
2013,737,771,4493,5230
2014,711,737,4293,5004
2015,714,740,4114,4828
2016,754,793,6752,7506
2017,609,642,4455,5064
2018,661,686,3950,4611
2019,744,766,3944,4688
2020,622,647,2614,3236
2021,621,654,2592,3213
2022,752,772,3070,3822
2023,882,910,4092,4974
2024,869,894,3900,4769
2025,843,878,4050,4893
