station,year,severity,collision,road_type,lat,lng
Electronic City,2020,Damage Only,Vehicle to Vehicle,NH,12.8396,77.67715
Electronic City,2020,Grievous Injury,Vehicle to Vehicle,NH,12.85399,77.66625
Electronic City,2020,Simple Injury,Vehicle to Vehicle,NH,12.8546,77.66563
Electronic City,2020,Grievous Injury,Vehicle to Vehicle,NH,12.85211,77.66759
Electronic City,2020,Grievous Injury,Vehicle to Vehicle,NH,12.85597,77.66424
Electronic City,2020,Simple Injury,Vehicle to Vehicle,NH,12.84095,77.67633
Electronic City,2020,Simple Injury,Vehicle to Vehicle,Others,12.84183,77.66484
Electronic City,2020,Fatal,Vehicle to Vehicle,NH,12.84802,77.6705
Electronic City,2020,Simple Injury,Hit pedestrian,Others,12.89023,77.64569
Electronic City,2020,Fatal,Vehicle to Vehicle,NH,12.85417,77.6659
Electronic City,2020,Simple Injury,Vehicle to Vehicle,Others,12.88364,77.65575
Electronic City,2020,Simple Injury,Vehicle to Vehicle,NH,12.84003,77.67694
Electronic City,2020,Simple Injury,Hit pedestrian,NH,12.88898,77.64024
Electronic City,2020,Simple Injury,Vehicle to Vehicle,Others,12.86361,77.64616
Electronic City,2020,Damage Only,Not Applicable,NH,12.89911,77.63388
Electronic City,2020,Fatal,Hit pedestrian,NH,12.8533,77.66674
Electronic City,2020,Fatal,Vehicle to Vehicle,Others,12.89271,77.66429
Electronic City,2020,Fatal,Vehicle to Vehicle,Others,12.83954,77.65402
Electronic City,2020,Fatal,Vehicle to Vehicle,NH,12.86537,77.65703
Electronic City,2020,Grievous Injury,Hit bicyclist,NH,12.88433,77.64311
Electronic City,2020,Simple Injury,Vehicle to Vehicle,NH,12.85597,77.66452
Electronic City,2020,Simple Injury,Vehicle to Vehicle,NH,12.8698,77.6535
Electronic City,2020,Simple Injury,Hit pedestrian,NH,12.86183,77.44151
Electronic City,2020,Simple Injury,Vehicle to Vehicle,Others,12.88544,77.65097
Electronic City,2020,Simple Injury,Vehicle to Vehicle,Others,12.89043,77.64538
Electronic City,2020,Simple Injury,Vehicle to Vehicle,Expressway,12.88623,77.64182
Electronic City,2020,Simple Injury,Vehicle to Vehicle,Others,12.87068,77.65503
Electronic City,2020,Fatal,Hit pedestrian,NH,12.87407,77.65008
Electronic City,2020,Damage Only,Vehicle to Vehicle,Expressway,12.86645,77.63906
Electronic City,2020,Fatal,Hit pedestrian,NH,12.86328,77.65843
Electronic City,2020,Simple Injury,Vehicle to Vehicle,NH,12.84362,77.64424
Electronic City,2020,Fatal,Vehicle to Vehicle,NH,12.85023,77.63584
Electronic City,2020,Damage Only,Vehicle to Vehicle,NH,12.85871,77.6624
Electronic City,2020,Simple Injury,Vehicle to Vehicle,Others,12.85331,77.65071
Electronic City,2020,Simple Injury,Vehicle to Vehicle,NH,12.84445,77.63503
Electronic City,2020,Simple Injury,Vehicle to Vehicle,NH,12.86446,77.65742
Electronic City,2020,Simple Injury,Vehicle to Vehicle,NH,12.89431,77.63673
Electronic City,2020,Simple Injury,Not Applicable,NH,12.84787,77.67066
Electronic City,2020,Simple Injury,Vehicle to Vehicle,Expressway,12.86264,77.64796
Electronic City,2020,Simple Injury,Vehicle to Vehicle,Others,12.84312,77.63339
Electronic City,2020,Simple Injury,Vehicle to Vehicle,NH,12.85921,77.66195
Electronic City,2020,Damage Only,Vehicle to Vehicle,NH,12.84197,77.67547
Electronic City,2020,Simple Injury,Vehicle to Vehicle,Others,12.84223,77.6187
Electronic City,2020,Fatal,Hit pedestrian,Others,12.874,77.66725
Electronic City,2020,Simple Injury,Vehicle to Vehicle,Expressway,12.85825,77.65792
Electronic City,2020,Damage Only,Vehicle to Vehicle,NH,12.90232,77.63196
Electronic City,2020,Simple Injury,Vehicle to Vehicle,Others,12.84307,77.66229
Electronic City,2020,Simple Injury,Not Applicable,NH,12.86229,77.65917
Electronic City,2020,Simple Injury,Vehicle to Vehicle,NH,12.83964,77.67745
Electronic City,2020,Simple Injury,Vehicle to Vehicle,Expressway,12.86396,77.62534
Electronic City,2020,Simple Injury,Hit pedestrian,Others,12.83852,77.6277
Electronic City,2020,Simple Injury,Hit pedestrian,NH,12.89712,77.63514
Electronic City,2020,Fatal,Hit pedestrian,NH,12.87868,77.64647
Electronic City,2020,Grievous Injury,Vehicle to Vehicle,NH,12.89439,77.63688
Electronic City,2020,Simple Injury,Vehicle to Vehicle,NH,12.82602,77.66437
Electronic City,2020,Fatal,Vehicle to Vehicle,NH,12.83998,77.67686
Electronic City,2020,Simple Injury,Vehicle to Vehicle,NH,12.86717,77.65527
Electronic City,2020,Damage Only,Vehicle to Vehicle,NH,12.83991,77.67689
Electronic City,2020,Simple Injury,Not Applicable,NH,12.85568,77.6645
Electronic City,2020,Damage Only,Vehicle to Vehicle,NH,12.85603,77.66447
Electronic City,2020,Simple Injury,Hit pedestrian,Others,12.88152,77.65523
Electronic City,2020,Damage Only,Vehicle to Vehicle,NH,12.85677,77.66366
Electronic City,2020,Simple Injury,Vehicle to Vehicle,NH,12.90054,77.63303
Electronic City,2020,Grievous Injury,Vehicle to Vehicle,NH,12.89102,77.63895
Electronic City,2020,Grievous Injury,Vehicle to Vehicle,NH,12.85569,77.66474
Electronic City,2020,Damage Only,Vehicle to Vehicle,NH,12.8435,77.6744
Electronic City,2020,Simple Injury,Vehicle to Vehicle,Others,12.88142,77.65357
Electronic City,2020,Simple Injury,Hit pedestrian,NH,12.84759,77.67129
Electronic City,2020,Fatal,Hit pedestrian,NH,12.86918,77.65379
Electronic City,2020,Simple Injury,Vehicle to Vehicle,Expressway,12.85619,77.66425
Electronic City,2020,Fatal,Vehicle to Vehicle,NH,12.84,77.677
Electronic City,2020,Simple Injury,Not Applicable,NH,12.85676,77.66395
Electronic City,2020,Simple Injury,Vehicle to Vehicle,NH,12.86996,77.65335
Electronic City,2020,Fatal,Vehicle to Vehicle,NH,12.84335,77.6742
Electronic City,2020,Damage Only,Vehicle to Vehicle,NH,12.85808,77.66257
Electronic City,2020,Grievous Injury,Hit pedestrian,NH,12.87895,77.646444
Electronic City,2020,Fatal,Vehicle to Vehicle,NH,12.88851,77.67293
Electronic City,2020,Damage Only,Not Applicable,NH,12.89924,77.6339
Electronic City,2020,Fatal,Hit pedestrian,NH,12.84167,77.67598
Electronic City,2020,Simple Injury,Hit pedestrian,NH,12.88014,77.64566
Electronic City,2020,Simple Injury,Not Applicable,Others,12.83627,77.62506
Electronic City,2020,Fatal,Vehicle to Vehicle,NH,12.83997,77.67682
Electronic City,2020,Damage Only,Vehicle to Vehicle,NH,12.83874,77.6781
Electronic City,2020,Simple Injury,Vehicle to Vehicle,NH,12.84672,77.67137
Electronic City,2020,Simple Injury,Vehicle to Vehicle,NH,12.875405,77.649031
Electronic City,2020,Simple Injury,Vehicle to Vehicle,Others,12.84358,77.64426
Electronic City,2020,Simple Injury,Vehicle to Vehicle,NH,12.85701,77.663369
Electronic City,2020,Simple Injury,Vehicle to Vehicle,Others,12.87085,77.65269
Electronic City,2020,Simple Injury,Hit pedestrian,NH,12.89944,77.63369
Electronic City,2020,Fatal,Vehicle to Vehicle,NH,12.88588,77.64201
Electronic City,2020,Simple Injury,Vehicle to Vehicle,NH,12.84031,77.67699
Electronic City,2020,Simple Injury,Vehicle to Vehicle,NH,12.86682,77.65593
Electronic City,2020,Simple Injury,Hit pedestrian,NH,12.89593,77.6359
Electronic City,2020,Simple Injury,Vehicle to Vehicle,NH,12.8479,77.67074
Electronic City,2020,Damage Only,Vehicle to Vehicle,Others,12.8985,77.64249
Electronic City,2020,Damage Only,Vehicle to Vehicle,NH,12.84651,77.67179
Electronic City,2020,Grievous Injury,Vehicle to Vehicle,NH,12.85613,77.66439
Electronic City,2020,Damage Only,Vehicle to Vehicle,NH,12.83997,77.67698
Electronic City,2020,Simple Injury,Vehicle to Vehicle,NH,12.8657,77.6534
Electronic City,2020,Simple Injury,Hit pedestrian,NH,12.86692,77.65549
Electronic City,2020,Simple Injury,Not Applicable,Others,12.84278,77.66978
Electronic City,2020,Damage Only,Not Applicable,NH,12.84753,77.67071
Electronic City,2020,Simple Injury,Vehicle to Vehicle,Others,12.84341,77.61348
Electronic City,2020,Simple Injury,Not Applicable,Others,12.8439,77.61181
Electronic City,2020,Fatal,Vehicle to Vehicle,Others,12.84236,77.61858
Electronic City,2020,Simple Injury,Vehicle to Vehicle,Others,12.84211,77.6682
Electronic City,2020,Simple Injury,Vehicle to Vehicle,Others,12.88401,77.65576
Electronic City,2020,Simple Injury,Not Applicable,Others,12.84559,77.6679
Electronic City,2020,Fatal,Vehicle to Vehicle,Others,12.871,77.65232
Electronic City,2020,Simple Injury,Hit pedestrian,NH,12.85812,77.66284
Electronic City,2020,Damage Only,Hit animal,NH,12.88535,77.64224
Electronic City,2021,Simple Injury,Vehicle to Vehicle,NH,12.85605,77.66446
Electronic City,2021,Simple Injury,Vehicle to Vehicle,Others,12.87177,77.66216
Electronic City,2021,Fatal,Vehicle to Vehicle,NH,12.85616,77.66422
Electronic City,2021,Simple Injury,Vehicle to Vehicle,NH,12.85616,77.66439
Electronic City,2021,Simple Injury,Vehicle to Vehicle,Others,12.83978,77.6212
Electronic City,2021,Simple Injury,Vehicle to Vehicle,NH,12.87062,77.65273
Electronic City,2021,Simple Injury,Hit pedestrian,Others,12.90666,77.6322
Electronic City,2021,Simple Injury,Vehicle to Vehicle,NH,12.88115,77.64505
Electronic City,2021,Simple Injury,Hit pedestrian,NH,12.8467,77.67207
Electronic City,2021,Simple Injury,Hit pedestrian,NH,12.90079,77.63297
Electronic City,2021,Simple Injury,Vehicle to Vehicle,Others,12.83879,77.6286
Electronic City,2021,Simple Injury,Not Applicable,NH,12.89696,77.63521
Electronic City,2021,Simple Injury,Hit pedestrian,Others,12.86286,77.65903
Electronic City,2021,Simple Injury,Vehicle to Vehicle,NH,12.85623,77.66407
Electronic City,2021,Simple Injury,Vehicle to Vehicle,NH,12.85615,77.66413
Electronic City,2021,Fatal,Hit pedestrian,NH,12.8681,77.65485
Electronic City,2021,Simple Injury,Not Applicable,Others,12.84188,77.66649
Electronic City,2021,Simple Injury,Not Applicable,Expressway,12.85501,77.61014
Electronic City,2021,Damage Only,Vehicle to Vehicle,Expressway,12.85912,77.65595
Electronic City,2021,Simple Injury,Hit pedestrian,NH,12.84636,77.67188
Electronic City,2021,Grievous Injury,Not Applicable,Expressway,12.85959,77.65459
Electronic City,2021,Simple Injury,Vehicle to Vehicle,NH,12.88117,77.64503
Electronic City,2021,Simple Injury,Vehicle to Vehicle,NH,12.85613,77.66438
Electronic City,2021,Simple Injury,Not Applicable,Expressway,12.86244,77.6485
Electronic City,2021,Simple Injury,Vehicle to Vehicle,NH,12.89946,77.63368
Electronic City,2021,Simple Injury,Vehicle to Vehicle,One way,12.85364,77.66465
Electronic City,2021,Simple Injury,Vehicle to Vehicle,Major District Road,12.83692,77.62452
Electronic City,2021,Simple Injury,Vehicle to Vehicle,NH,12.87576,77.67261
Electronic City,2021,Simple Injury,Vehicle to Vehicle,NH,12.90173,77.63105
Electronic City,2021,Simple Injury,Not Applicable,Residential Street,12.90157,77.63884
Electronic City,2021,Simple Injury,Hit pedestrian,Two way,12.87668,77.65434
Electronic City,2021,Grievous Injury,Vehicle to Vehicle,NH,12.83998,77.67686
Electronic City,2021,Fatal,Vehicle to Vehicle,NH,12.84019,77.67689
Electronic City,2021,Damage Only,Vehicle to Vehicle,NH,12.856,77.66426
Electronic City,2021,Grievous Injury,Hit bicyclist,NH,12.84005,77.67697
Electronic City,2021,Simple Injury,Vehicle to Vehicle,NH,12.84359,77.67444
Electronic City,2021,Simple Injury,Hit pedestrian,Others,12.8599,77.66372
Electronic City,2021,Simple Injury,Vehicle to Vehicle,Others,12.84762,77.68238
Electronic City,2021,Fatal,Vehicle to Vehicle,Residential Street,12.85816,77.64609
Electronic City,2021,Simple Injury,Vehicle to Vehicle,NH,12.84342,77.67419
Electronic City,2021,Simple Injury,Vehicle to Vehicle,NH,12.84957,77.66967
Electronic City,2021,Simple Injury,Vehicle to Vehicle,NH,12.89299,77.65599
Electronic City,2021,Simple Injury,Vehicle to Vehicle,NH,12.83988,77.67696
Electronic City,2021,Fatal,Vehicle to Vehicle,Service Road,12.879012,77.646384
Electronic City,2021,Simple Injury,Vehicle to Vehicle,NH,12.84339,77.67427
Electronic City,2021,Simple Injury,Hit pedestrian,NH,12.84064,77.67668
Electronic City,2021,Simple Injury,Not Applicable,NH,12.84669,77.67267
Electronic City,2021,Fatal,Hit pedestrian,NH,12.89626,77.63564
Electronic City,2021,Simple Injury,Hit pedestrian,NH,12.85907,77.66217
Electronic City,2021,Fatal,Hit pedestrian,NH,12.88444,77.64294
Electronic City,2021,Fatal,Hit pedestrian,NH,12.84046,77.67666
Electronic City,2021,Simple Injury,Hit pedestrian,NH,12.89438,77.63668
Electronic City,2021,Simple Injury,Hit pedestrian,NH,12.85993,77.66114
Electronic City,2021,Simple Injury,Hit pedestrian,NH,12.84502,77.67319
Electronic City,2021,Simple Injury,Hit pedestrian,NH,12.8828,77.64395
Electronic City,2021,Simple Injury,Hit bicyclist,NH,12.8822,77.64979
Electronic City,2021,Simple Injury,Vehicle to Vehicle,Others,12.88864,77.67259
Electronic City,2021,Simple Injury,Not Applicable,NH,12.84481,77.67401
Electronic City,2021,Simple Injury,Vehicle to Vehicle,Service Road,12.84339,77.67404
Electronic City,2021,Simple Injury,Hit bicyclist,Others,12.84513,77.66007
Electronic City,2021,Fatal,Vehicle to Vehicle,NH,12.869081,77.654129
Electronic City,2021,Fatal,Vehicle to Vehicle,NH,12.855,77.66512
Electronic City,2021,Fatal,Vehicle to Vehicle,Expressway,12.8559,77.66447
Electronic City,2021,Simple Injury,Vehicle to Vehicle,Expressway,12.88221,77.64427
Electronic City,2021,Simple Injury,Vehicle to Vehicle,Others,12.84753,77.67473
Electronic City,2021,Simple Injury,Vehicle to Vehicle,Expressway,12.8568,77.66413
Electronic City,2021,Fatal,Vehicle to Vehicle,Others,12.84398,77.61168
Electronic City,2021,Simple Injury,Vehicle to Vehicle,Others,12.87202,77.66263
Electronic City,2021,Fatal,Vehicle to Vehicle,NH,12.84029,77.67679
Electronic City,2021,Simple Injury,Vehicle to Vehicle,NH,12.83991,77.67693
Electronic City,2021,Simple Injury,Vehicle to Vehicle,NH,12.90418,77.63078
Electronic City,2021,Simple Injury,Vehicle to Vehicle,NH,12.84796,77.67049
Electronic City,2021,Damage Only,Vehicle to Vehicle,NH,12.86988,77.65341
Electronic City,2021,Damage Only,Vehicle to Vehicle,Others,12.85886,77.65588
Electronic City,2021,Simple Injury,Hit pedestrian,Others,12.84238,77.64419
Electronic City,2021,Damage Only,Vehicle to Vehicle,NH,12.83995,77.67687
Electronic City,2021,Simple Injury,Vehicle to Vehicle,NH,12.86985,77.65342
Electronic City,2021,Simple Injury,Vehicle to Vehicle,One way,12.84669,77.67269
Electronic City,2021,Fatal,Hit pedestrian,Major District Road,12.83919,77.62167
Electronic City,2021,Simple Injury,Vehicle to Vehicle,NH,12.84502,77.6728
Electronic City,2021,Simple Injury,Vehicle to Vehicle,Others,12.88423,77.67227
Electronic City,2021,Simple Injury,Vehicle to Vehicle,NH,12.87288,77.65122
Electronic City,2021,Simple Injury,Vehicle to Vehicle,NH,12.90072,77.64095
Electronic City,2021,Simple Injury,Vehicle to Vehicle,NH,12.86993,77.65326
Electronic City,2021,Damage Only,Not Applicable,NH,12.85845,77.65793
Electronic City,2021,Simple Injury,Vehicle to Vehicle,NH,12.85609,77.66409
Electronic City,2021,Damage Only,Not Applicable,NH,12.88902,77.64016
Electronic City,2021,Fatal,Vehicle to Vehicle,Expressway,12.85493,77.61043
Electronic City,2021,Simple Injury,Vehicle to Vehicle,NH,12.83997,77.67703
Electronic City,2021,Simple Injury,Vehicle to Vehicle,NH,12.84391,77.6739
Electronic City,2021,Simple Injury,Vehicle to Vehicle,NH,12.87228,77.6516
Electronic City,2021,Simple Injury,Hit pedestrian,NH,12.86803,77.65469
Electronic City,2021,Simple Injury,Hit pedestrian,Others,12.8623,77.6723
Electronic City,2021,Simple Injury,Vehicle to Vehicle,Others,12.84004,77.65324
Electronic City,2021,Fatal,Vehicle to Vehicle,NH,12.8412,77.6763
Electronic City,2021,Simple Injury,Not Applicable,NH,12.87109,77.65226
Electronic City,2021,Simple Injury,Vehicle to Vehicle,Others,12.84942,77.63561
Electronic City,2021,Simple Injury,Vehicle to Vehicle,NH,12.8472,77.67084
Electronic City,2021,Simple Injury,Vehicle to Vehicle,NH,12.8941,77.63707
Electronic City,2021,Fatal,Vehicle to Vehicle,NH,12.88994,77.63954
Electronic City,2021,Fatal,Vehicle to Vehicle,Others,12.84482,77.67407
Electronic City,2021,Fatal,Hit pedestrian,Residential Street,12.8913,77.64919
Electronic City,2021,Simple Injury,Vehicle to Vehicle,Expressway,12.86155,77.6491
Electronic City,2021,Simple Injury,Vehicle to Vehicle,NH,12.86548,77.65695
Electronic City,2021,Fatal,Vehicle to Vehicle,Expressway,12.86701,77.63485
Electronic City,2021,Simple Injury,Vehicle to Vehicle,NH,12.86988,77.65322
Electronic City,2021,Fatal,Hit bicyclist,Service Road,12.88061,77.64538
Electronic City,2021,Simple Injury,Vehicle to Vehicle,NH,12.88422,77.64308
Electronic City,2021,Fatal,Vehicle to Vehicle,NH,12.84097,77.67633
Electronic City,2021,Simple Injury,Vehicle to Vehicle,NH,12.90105,77.63281
Electronic City,2021,Simple Injury,Vehicle to Vehicle,NH,12.86985,77.65345
Electronic City,2021,Simple Injury,Not Applicable,Residential Street,12.84892,77.6454
Electronic City,2021,Simple Injury,Vehicle to Vehicle,NH,12.85604,77.66427
Electronic City,2021,Simple Injury,Hit pedestrian,Others,12.89889,77.65118
Electronic City,2021,Simple Injury,Hit pedestrian,NH,12.84661,77.672
Electronic City,2021,Simple Injury,Not Applicable,NH,12.85993,77.66114
Electronic City,2021,Simple Injury,Hit bicyclist,NH,12.85604,77.66437
Electronic City,2021,Simple Injury,Vehicle to Vehicle,NH,12.84808,77.67043
Electronic City,2021,Simple Injury,Hit pedestrian,NH,12.89582,77.63587
Electronic City,2021,Simple Injury,Vehicle to Vehicle,Others,12.84135,77.64855
Electronic City,2021,Simple Injury,Not Applicable,NH,12.89539,77.63626
Electronic City,2021,Not Applicable,Vehicle to Vehicle,NH,12.83993,77.67692
Electronic City,2021,Simple Injury,Vehicle to Vehicle,NH,12.90158,77.63234
Electronic City,2022,Simple Injury,Vehicle to Vehicle,NH,12.90272,77.63169
Electronic City,2022,Simple Injury,Hit pedestrian,NH,12.85807,77.66287
Electronic City,2022,Fatal,Not Applicable,NH,12.83999,77.67685
Electronic City,2022,Grievous Injury,Vehicle to Vehicle,Expressway,12.86142,77.65067
Electronic City,2022,Grievous Injury,Vehicle to Vehicle,Others,12.84344,77.63781
Electronic City,2022,Simple Injury,Vehicle to Vehicle,Others,12.83625,77.62504
Electronic City,2022,Grievous Injury,Vehicle to Vehicle,NH,12.8945,77.63659
Electronic City,2022,Simple Injury,Hit pedestrian,Others,12.86821,77.66175
Electronic City,2022,Simple Injury,Hit pedestrian,Others,12.87612,77.6749
Electronic City,2022,Simple Injury,Hit pedestrian,NH,12.8965,77.63551
Electronic City,2022,Simple Injury,Hit pedestrian,Service Road,12.87209,77.65132
Electronic City,2022,Simple Injury,Vehicle to Vehicle,One way,12.8718,77.66226
Electronic City,2022,Simple Injury,Vehicle to Vehicle,NH,12.89237,77.63805
Electronic City,2022,Not Applicable,Hit animal,Others,12.87078,77.6595
Electronic City,2022,Simple Injury,Vehicle to Vehicle,Service Road,12.90943,77.63041
Electronic City,2022,Fatal,Vehicle to Vehicle,NH,12.89439,77.63689
Electronic City,2022,Simple Injury,Vehicle to Vehicle,NH,12.9022,77.63201
Electronic City,2022,Damage Only,Vehicle to Vehicle,NH,12.84004,77.67702
Electronic City,2022,Fatal,Vehicle to Vehicle,NH,12.84188,77.67618
Electronic City,2022,Fatal,Vehicle to Vehicle,Others,12.864974,77.627258
Electronic City,2022,Grievous Injury,Vehicle to Vehicle,Expressway,12.85827,77.65794
Electronic City,2022,Simple Injury,Hit pedestrian,Minor District Road,12.84315,77.61453
Electronic City,2022,Simple Injury,Vehicle to Vehicle,Others,12.88875,77.67231
Electronic City,2022,Not Applicable,Vehicle to Vehicle,Not Applicable,12.90643,77.63005
Electronic City,2022,Grievous Injury,Vehicle to Vehicle,Others,12.83954,77.65411
Electronic City,2022,Grievous Injury,Hit pedestrian,One way,12.83935,77.65615
Electronic City,2022,Grievous Injury,Hit pedestrian,Residential Street,12.84432,77.63274
Electronic City,2022,Simple Injury,Vehicle to Vehicle,Others,12.87548,77.67783
Electronic City,2022,Grievous Injury,Vehicle to Vehicle,Others,12.89387,77.65678
Electronic City,2022,Fatal,Vehicle to Vehicle,NH,12.897,77.63511
Electronic City,2022,Simple Injury,Vehicle to Vehicle,NH,12.86199,77.65972
Electronic City,2022,Simple Injury,Not Applicable,Others,12.88421,77.65584
Electronic City,2022,Grievous Injury,Vehicle to Vehicle,NH,12.85278,77.66673
Electronic City,2022,Simple Injury,Vehicle to Vehicle,NH,12.85614,77.66426
Electronic City,2022,Simple Injury,Hit pedestrian,NH,12.85038,77.66895
Electronic City,2022,Simple Injury,Vehicle to Vehicle,Expressway,12.85579,77.61284
Electronic City,2022,Grievous Injury,Vehicle to Vehicle,NH,12.88916,77.64013
Electronic City,2022,Fatal,Not Applicable,Others,12.84126,77.66531
Electronic City,2022,Grievous Injury,Vehicle to Vehicle,Others,12.84838,77.65791
Electronic City,2022,Grievous Injury,Vehicle to Vehicle,NH,12.86974,77.65332
Electronic City,2022,Simple Injury,Not Applicable,NH,12.87278,77.65127
Electronic City,2022,Fatal,Vehicle to Vehicle,NH,12.84247,77.6749
Electronic City,2022,Fatal,Hit pedestrian,Others,12.898316,77.655149
Electronic City,2022,Simple Injury,Vehicle to Vehicle,NH,12.86209,77.65959
Electronic City,2022,Simple Injury,Hit pedestrian,Others,12.87327,77.65814
Electronic City,2022,Simple Injury,Vehicle to Vehicle,NH,12.85201,77.66764
Electronic City,2022,Simple Injury,Vehicle to Vehicle,NH,12.85256,77.66716
Electronic City,2022,Simple Injury,Vehicle to Vehicle,NH,12.84309,77.66202
Electronic City,2022,Fatal,Not Applicable,NH,12.85614,77.66439
Electronic City,2022,Simple Injury,Not Applicable,Expressway,12.85786,77.61649
Electronic City,2022,Grievous Injury,Hit pedestrian,Others,12.84306,77.64279
Electronic City,2022,Fatal,Vehicle to Vehicle,NH,12.88891,77.64031
Electronic City,2022,Grievous Injury,Vehicle to Vehicle,Sub Arterial,12.8703,77.62402
Electronic City,2022,Grievous Injury,Hit pedestrian,NH,12.85572,77.66472
Electronic City,2022,Simple Injury,Vehicle to Vehicle,Others,12.86414,77.6705
Electronic City,2022,Simple Injury,Not Applicable,NH,12.85883,77.66225
Electronic City,2022,Fatal,Hit pedestrian,Service Road,12.885158,77.642563
Electronic City,2022,Simple Injury,Hit pedestrian,NH,12.88997,77.63958
Electronic City,2022,Simple Injury,Hit pedestrian,NH,12.86342,77.6582
Electronic City,2022,Fatal,Not Applicable,Expressway,12.86228,77.62274
Electronic City,2022,Simple Injury,Vehicle to Vehicle,NH,12.852059,77.667612
Electronic City,2022,Simple Injury,Hit pedestrian,NH,12.86008,77.66119
Electronic City,2022,Simple Injury,Vehicle to Vehicle,Others,12.8794,77.67208
Electronic City,2022,Simple Injury,Hit pedestrian,Others,12.85004,77.64567
Electronic City,2022,Simple Injury,Vehicle to Vehicle,Others,12.868,77.66216
Electronic City,2022,Grievous Injury,Vehicle to Vehicle,NH,12.84773,77.67553
Electronic City,2022,Simple Injury,Vehicle to Vehicle,Expressway,12.86651,77.63868
Electronic City,2022,Grievous Injury,Hit pedestrian,Others,12.83911,77.65579
Electronic City,2022,Simple Injury,Vehicle to Vehicle,NH,12.84795,77.67064
Electronic City,2022,Grievous Injury,Vehicle to Vehicle,NH,12.84811,77.67043
Electronic City,2022,Simple Injury,Vehicle to Vehicle,NH,12.85611,77.66436
Electronic City,2022,Simple Injury,Hit pedestrian,NH,12.84692,77.67338
Electronic City,2022,Simple Injury,Vehicle to Vehicle,NH,12.86987,77.65341
Electronic City,2022,Fatal,Hit pedestrian,NH,12.88594,77.64198
Electronic City,2022,Fatal,Not Applicable,NH,12.86558,77.65687
Electronic City,2023,Grievous Injury,Vehicle to Vehicle,Others,12.839288,77.62274
Electronic City,2023,Grievous Injury,Not Applicable,NH,12.83625,77.61043
Electronic City,2023,Simple Injury,Vehicle to Vehicle,Others,12.83876,77.62504
Electronic City,2023,Grievous Injury,Not Applicable,Not Applicable,12.83625,77.62504
Electronic City,2023,Simple Injury,Vehicle to Vehicle,Service Road,12.83625,77.47144
Electronic City,2023,Simple Injury,Vehicle to Vehicle,NH,12.83978,77.61453
Electronic City,2023,Grievous Injury,Not Applicable,NH,12.83852,77.61014
Electronic City,2023,Grievous Injury,Hit pedestrian,NH,12.83876,77.62504
Electronic City,2023,Grievous Injury,Vehicle to Vehicle,Expressway,12.856194,77.613826
Electronic City,2023,Grievous Injury,Vehicle to Vehicle,Others,12.83876,77.61453
Electronic City,2023,Grievous Injury,Not Applicable,NH,12.752783,77.61453
Electronic City,2023,Fatal,Vehicle to Vehicle,NH,12.867301,77.655454
Electronic City,2023,Simple Injury,Vehicle to Vehicle,NH,12.83993,77.61014
Electronic City,2023,Grievous Injury,Vehicle to Vehicle,Service Road,12.83852,77.61453
Electronic City,2023,Grievous Injury,Hit pedestrian,NH,12.83852,77.61043
Electronic City,2023,Fatal,Not Applicable,NH,12.90289,77.631733
Electronic City,2023,Grievous Injury,Vehicle to Vehicle,NH,12.83876,77.62402
Electronic City,2023,Grievous Injury,Vehicle to Vehicle,Residential Street,12.83625,77.61043
Electronic City,2023,Grievous Injury,Vehicle to Vehicle,Others,12.752783,77.61014
Electronic City,2023,Grievous Injury,Vehicle to Vehicle,Others,12.856194,77.61284
Electronic City,2023,Grievous Injury,Vehicle to Vehicle,Service Road,12.83852,77.61014
Electronic City,2023,Grievous Injury,Vehicle to Vehicle,NH,12.83625,77.61043
Electronic City,2023,Grievous Injury,Not Applicable,One way,12.83876,77.63041
Electronic City,2023,Simple Injury,Vehicle to Vehicle,NH,12.83935,77.61014
Electronic City,2023,Grievous Injury,Hit pedestrian,Others,12.83625,77.61014
Electronic City,2023,Simple Injury,Vehicle to Vehicle,Others,12.83852,77.61043
Electronic City,2023,Fatal,Not Applicable,Others,12.958962,77.651014
Electronic City,2023,Grievous Injury,Not Applicable,Others,12.854976,77.659488
U.Gate,2016,Fatal,Hit pedestrian,City or Town Road,12.964917,77.596
U.Gate,2016,Grievous Injury,Hit pedestrian,City or Town Road,12.968348,77.58677
U.Gate,2016,Fatal,Hit pedestrian,City or Town Road,12.9665496,77.5868565
U.Gate,2017,Fatal,Hit pedestrian,City or Town Road,12.97298,77.581721
U.Gate,2017,Fatal,Hit pedestrian,City or Town Road,12.967984,77.591371
U.Gate,2018,Fatal,Rear end,City or Town Road,12.964555,77.586017
U.Gate,2018,Simple Injury,Hit and Run,City or Town Road,12.967101,77.586044
U.Gate,2018,Grievous Injury,Others,City or Town Road,12.972751,77.581621
U.Gate,2018,Grievous Injury,Hit and Run,City or Town Road,12.975712,77.586992
U.Gate,2018,Damage Only,Rear end,City or Town Road,12.972808,77.58157
U.Gate,2019,Grievous Injury,Vehicle to Vehicle,Others,12.970119,77.587058
U.Gate,2019,Grievous Injury,Vehicle to Vehicle,Others,12.974376,77.586597
U.Gate,2019,Grievous Injury,Vehicle to Vehicle,Others,12.965552,77.586681
U.Gate,2019,Grievous Injury,Hit pedestrian,Others,12.969758,77.585171
U.Gate,2019,Simple Injury,Hit pedestrian,Others,12.970877,77.583802
