Station,year,fatal,killed,injured,total,killed_est
Hebbala,2023,24,24.0,118.0,144,False
Hebbala,2024,29,30.0,,177,True
Hebbala,2025,24,24.9,,164,True
Hennuru,2023,23,24.0,84.0,103,False
Hennuru,2024,32,33.1,,127,True
Hennuru,2025,22,22.8,,88,True
Hulimavu,2018,30,33.0,118.0,136,False
Hulimavu,2019,15,15.0,104.0,123,False
Hulimavu,2020,16,16.0,74.0,80,False
Hulimavu,2021,6,6.0,71.0,74,False
Hulimavu,2022,10,11.0,93.0,113,False
Hulimavu,2023,16,16.0,117.0,108,False
Hulimavu,2024,10,10.4,,71,True
Hulimavu,2025,24,24.9,,90,True
Indiranagar,2018,11,11.0,60.0,74,False
Indiranagar,2019,14,14.0,92.0,108,False
Indiranagar,2020,9,9.0,45.0,49,False
Indiranagar,2021,5,5.0,28.0,32,False
Indiranagar,2022,13,13.0,40.0,48,False
Indiranagar,2023,12,12.0,62.0,85,False
Indiranagar,2024,21,21.8,,119,True
Indiranagar,2025,24,24.9,,98,True
Int. Aiport,2018,39,45.0,189.0,161,False
Int. Aiport,2019,33,37.0,197.0,160,False
Int. Aiport,2020,25,27.0,133.0,113,False
Int. Aiport,2021,23,24.0,209.0,168,False
Int. Aiport,2022,30,31.0,164.0,154,False
Int. Aiport,2023,59,61.0,215.0,232,False
Int. Aiport,2024,60,62.2,,240,True
Int. Aiport,2025,42,43.5,,146,True
JP Nagar,2025,3,3.1,,43,True
Jalahalli,2018,21,21.0,158.0,174,False
Jalahalli,2019,21,22.0,104.0,107,False
Jalahalli,2020,19,20.0,63.0,72,False
Jalahalli,2021,22,23.0,80.0,90,False
Jalahalli,2022,15,16.0,75.0,80,False
Jalahalli,2023,28,29.0,84.0,102,False
Jalahalli,2024,15,15.5,,69,True
Jalahalli,2025,8,8.3,,56,True
Jayanagar,2018,9,9.0,71.0,81,False
Jayanagar,2019,16,16.0,63.0,77,False
Jayanagar,2020,15,15.0,46.0,54,False
Jayanagar,2021,10,10.0,55.0,60,False
Jayanagar,2022,8,8.0,89.0,93,False
Jayanagar,2023,13,13.0,77.0,90,False
Jayanagar,2024,12,12.4,,85,True
Jayanagar,2025,11,11.4,,66,True
Jnanabharathi,2024,22,22.8,,141,True
Jnanabharathi,2025,18,18.6,,158,True
K G Halli,2018,4,4.0,24.0,23,False
K G Halli,2019,7,7.0,21.0,29,False
